C1–C2–C3–C4 (°),Relative Energy (kcal/mol),Absolute Energy (Hartree)
0,5.067140020012156,-158.543345
12.413793103448276,4.578937551196306,-158.544123
24.82758620689655,3.3872968208086474,-158.546022
37.241379310344826,2.0262284984028796,-158.548191
49.6551724137931,0.9946027160035897,-158.549835
62.06896551724138,0.5547184864084271,-158.550536
74.48275862068965,0.6977906752039026,-158.550308
86.89655172413794,1.3629508512010147,-158.549248
99.3103448275862,2.322413029604151,-158.547719
111.72413793103448,3.06726692479624,-158.546532
124.13793103448276,3.1864937487984144,-158.546342
136.55172413793105,2.6091849168113526,-158.547262
148.9655172413793,1.604542047197442,-158.548863
161.3793103448276,0.6061742736033581,-158.550454
173.79310344827587,0,-158.55142
186.20689655172413,0.0006275095984156905,-158.551419
198.6206896551724,0.6061742736033581,-158.550454
211.0344827586207,1.604542047197442,-158.548863
223.44827586206895,2.6091849168113526,-158.547262
235.86206896551724,3.1864937487984144,-158.546342
248.27586206896552,3.0666394151978245,-158.546533
260.6896551724138,2.322413029604151,-158.547719
273.1034482758621,1.3629508512010147,-158.549248
285.51724137931035,0.6971631656054869,-158.550309
297.9310344827586,0.5547184864084271,-158.550536
310.3448275862069,0.9946027160035897,-158.549835
322.7586206896552,2.0262284984028796,-158.548191
335.17241379310343,3.3872968208086474,-158.546022
347.58620689655174,4.578937551196306,-158.544123
360,5.067140020012156,-158.543345
