C3–C1–C2–C4 (°),Relative Energy (kcal/mol),Absolute Energy (Hartree)
0,0,-28.841478
12.413793103448276,0.11797180479865496,-28.84129
24.82758620689655,0.4725147287997236,-28.840725
37.241379310344826,1.0567261663983398,-28.839794
49.6551724137931,1.83923063760015,-28.838547
62.06896551724138,2.69829127999817,-28.837178
74.48275862068965,3.2963079287998305,-28.836225
86.89655172413794,3.111820106399681,-28.836519
99.3103448275862,2.085214400798863,-28.838155
111.72413793103448,1.0291157439989391,-28.839838
124.13793103448276,0.6293921287982434,-28.840475
136.55,2.703938866399517,-28.837169
151.08214285714286,1.510415607198776,-28.839071
165.61428571428573,0.4235689799984555,-28.840803
180.14642857142857,0,-28.841478
194.67857142857144,0.440511739198037,-28.840776
209.2107142857143,1.536143500798471,-28.83903
223.74285714285713,2.724019173600094,-28.837137
238.275,3.3320759759986993,-28.836168
252.80714285714288,2.99071075360003,-28.836712
267.3392857142857,1.9528098751987482,-28.838366
281.8714285714286,0.9795424855992553,-28.839917
296.40357142857147,0.6306471479995334,-28.840473
310.9357142857143,1.1433224911981825,-28.839656
325.46785714285716,2.5357662935983036,-28.837437
340,4.277732943198791,-28.834661
