# # NH3 PES Data - Pyramidal Inversion Pathway
# # Method: Dihedral scan of H4-N1-H3-H2
# # Columns: DihedralAngle(degrees) RelativeEnergy(Hartree)
# # Energy minimum at planar configuration (~247°)
# # Shows characteristic inversion barrier of ammonia
   50.000000     0.111028
   58.965517     0.070362
   67.931034     0.043916
   76.896552     0.025152
   85.862069     0.012722
   94.827586     0.005201
  103.793103     0.001295
  112.758621     0.000001
  121.724138     0.000418
  130.689655     0.001753
  139.655172     0.003401
  148.620690     0.004986
  157.586207     0.006286
  166.551724     0.007193
  175.517241     0.007657
  184.482759     0.007657
  193.448276     0.007194
  202.413793     0.006286
  211.379310     0.004985
  220.344828     0.003401
  229.310345     0.001751
  238.275862     0.000418
  247.241379     0.000000
  256.206897     0.001295
  265.172414     0.005201
  274.137931     0.012722
  283.103448     0.025152
  292.068966     0.043916
  301.034483     0.070362
  310.000000     0.111028
